start_x,start_y,goal_x,goal_y,path_length
0.4118,1.1766,-1.2058,-0.1895,2.118
1.3477,1.8039,0.2315,1.0349,1.3582
0.2315,1.0349,-1.2058,-0.1895,1.8886
1.3477,1.8039,0.0245,0.8674,1.6245
0.0245,0.8674,-1.2058,-0.1895,1.6223
1.3477,1.8039,-0.2757,0.5928,2.0313
-0.2757,0.5928,-1.2058,-0.1895,1.2155
1.3477,1.8039,-0.4407,0.4505,2.2492
-0.4407,0.4505,-1.2058,-0.1895,0.9976
1.3477,1.8039,-0.809,0.1399,2.731
-0.809,0.1399,-1.2058,-0.1895,0.5158
1.3477,1.8039,-0.9427,0.023,2.9086
-0.9427,0.023,-1.2058,-0.1895,0.3382
1.3477,1.8039,-1.2058,-0.1895,3.2469
-0.8352,-0.3109,0.808,0.6205,1.9796
-0.8352,-0.3109,-0.6534,-0.078,0.2955
-0.6534,-0.078,0.808,0.6205,1.6841
-0.8352,-0.3109,-0.5048,0.1144,0.5386
-0.5048,0.1144,0.808,0.6205,1.441
-0.8352,-0.3109,-0.3316,0.3069,0.7975
-0.3316,0.3069,0.808,0.6205,1.1821
-0.8352,-0.3109,-0.1166,0.3723,1.0222
-0.1166,0.3723,0.808,0.6205,0.9574
-0.8352,-0.3109,0.2533,0.4695,1.4047
0.2533,0.4695,0.808,0.6205,0.5749
-0.8352,-0.3109,0.413,0.5085,1.5691
0.413,0.5085,0.808,0.6205,0.4105
-0.8352,-0.3109,0.808,0.6205,1.9796
-0.7039,0.3398,0.4753,0.491,1.1889
-0.7039,0.3398,-0.2486,0.3983,0.459
-0.2486,0.3983,0.4753,0.491,0.7299
-0.7039,0.3398,-0.0273,0.425,0.6819
-0.0273,0.425,0.4753,0.491,0.507
-0.7039,0.3398,0.4076,0.4809,1.1204
0.4076,0.4809,0.4753,0.491,0.0685
-0.7039,0.3398,0.4753,0.491,1.1889
-0.1657,1.638,-1.3854,1.6294,1.2201
-0.1657,1.638,-0.2959,1.6322,0.1303
-0.2959,1.6322,-1.3854,1.6294,1.0899
-0.1657,1.638,-0.7803,1.6244,0.6147
-0.7803,1.6244,-1.3854,1.6294,0.6054
-0.1657,1.638,-1.1923,1.62,1.0267
-1.1923,1.62,-1.3854,1.6294,0.1934
-0.1657,1.638,-1.3854,1.6294,1.2201
0.7318,-0.4061,-0.1712,-0.3884,0.9033
0.7318,-0.4061,0.3696,-0.4021,0.3622
0.3696,-0.4021,-0.1712,-0.3884,0.541
0.7318,-0.4061,0.0782,-0.3975,0.6537
0.0782,-0.3975,-0.1712,-0.3884,0.2496
0.7318,-0.4061,-0.1712,-0.3884,0.9033
-0.6997,-0.811,-1.5796,0.8369,1.8682
-0.6997,-0.811,-0.8165,-0.5787,0.26
-0.8165,-0.5787,-1.5796,0.8369,1.6081
-0.6997,-0.811,-1.003,-0.2286,0.6567
-1.003,-0.2286,-1.5796,0.8369,1.2115
-0.6997,-0.811,-1.0647,-0.1139,0.7869
-1.0647,-0.1139,-1.5796,0.8369,1.0812
-0.6997,-0.811,-1.2015,0.1356,1.0715
-1.2015,0.1356,-1.5796,0.8369,0.7967
-0.6997,-0.811,-1.3431,0.4001,1.3714
-1.3431,0.4001,-1.5796,0.8369,0.4967
-0.6997,-0.811,-1.477,0.6463,1.6517
-1.477,0.6463,-1.5796,0.8369,0.2164
-0.6997,-0.811,-1.5796,0.8369,1.8682
0.9318,1.4016,-0.0504,1.7778,1.0519
0.9318,1.4016,0.6518,1.5073,0.2993
0.6518,1.5073,-0.0504,1.7778,0.7527
0.9318,1.4016,0.419,1.6005,0.5501
0.419,1.6005,-0.0504,1.7778,0.5019
0.9318,1.4016,0.1212,1.718,0.8702
0.1212,1.718,-0.0504,1.7778,0.1817
0.9318,1.4016,-0.0504,1.7778,1.0519
-0.2512,1.5385,1.7926,-0.8885,3.1743
-0.2512,1.5385,-0.1174,1.3803,0.2072
-0.1174,1.3803,1.7926,-0.8885,2.967
-0.2512,1.5385,0.125,1.0931,0.583
0.125,1.0931,1.7926,-0.8885,2.5913
-0.2512,1.5385,0.2448,0.9486,0.7707
0.2448,0.9486,1.7926,-0.8885,2.4036
-0.2512,1.5385,0.4465,0.7139,1.0801
0.4465,0.7139,1.7926,-0.8885,2.0941
-0.2512,1.5385,0.6854,0.422,1.4573
0.6854,0.422,1.7926,-0.8885,1.7169
-0.2512,1.5385,0.8757,0.2004,1.7495
0.8757,0.2004,1.7926,-0.8885,1.4248
-0.2512,1.5385,1.1193,-0.0606,2.1064
1.1193,-0.0606,1.7926,-0.8885,1.0678
-0.2512,1.5385,1.3386,-0.3088,2.4377
1.3386,-0.3088,1.7926,-0.8885,0.7366
-0.2512,1.5385,1.5307,-0.5652,2.7581
1.5307,-0.5652,1.7926,-0.8885,0.4162
-0.2512,1.5385,1.7445,-0.8357,3.1028
1.7445,-0.8357,1.7926,-0.8885,0.0715
-0.2512,1.5385,1.7926,-0.8885,3.1743
0.2382,-0.5701,0.7328,1.4292,2.0992
0.2382,-0.5701,0.2691,-0.4965,0.0798
0.2691,-0.4965,0.7328,1.4292,2.0194
0.2382,-0.5701,0.354,-0.1467,0.4398
0.354,-0.1467,0.7328,1.4292,1.6593
0.2382,-0.5701,0.3982,0.0284,0.6204
0.3982,0.0284,0.7328,1.4292,1.4787
0.2382,-0.5701,0.4534,0.2859,0.8837
0.4534,0.2859,0.7328,1.4292,1.2155
0.2382,-0.5701,0.4798,0.4041,1.0048
0.4798,0.4041,0.7328,1.4292,1.0944
0.2382,-0.5701,0.5231,0.5889,1.1946
0.5231,0.5889,0.7328,1.4292,0.9046
0.2382,-0.5701,0.5894,0.9367,1.5487
